,Daily Returns,Total Returns,Funds,Margin,Portfolio Value,AAPL Position,AAPL Order,AAPL Filled Order,AAPL Trade Price,AAPL Cost to Trade,AAPL PnL,IBM Position,IBM Order,IBM Filled Order,IBM Trade Price,IBM Cost to Trade,IBM PnL,GOOG Position,GOOG Order,GOOG Filled Order,GOOG Trade Price,GOOG Cost to Trade,GOOG PnL,C Position,C Order,C Filled Order,C Trade Price,C Cost to Trade,C PnL
2016-11-04,0.12694825,35.87271785,649731.9485,649861.5,1366052.9285,-1375,-62,-62,108.53,12.121,1268.529,436,59,59,152.4,11.623,12.767,-602,-7,-7,750.66,4.522,-18.592,-1013,-59,-59,48.11,8.7615,6.7785
2016-11-03,0.66319885,35.7457696,646605.386,648528.11,1352576.986,-1313,-29,-29,110.98,4.524,2288.666,377,49,49,152.51,8.9915,121.9085,-595,-7,-7,767.25,7.07,3891.93,-954,-32,-32,48.53,4.096,329.484
2016-11-02,0.87143775,35.08257075,650105.0275,645456.06,1345400.6875,-1284,-12,-12,111.4,3.144,-132.624,328,27,27,152.48,5.6295,-272.7795,-588,0,0,778.2,0.0,8767.08,-922,-34,-34,48.63,5.559,352.701
2016-11-01,0.3040345,34.211133,645102.94,648527.64,1339620.37,-1272,5,5,113.46,0.7575,2607.2425,301,7,7,153.5,1.2495,-270.8195,-588,-14,-14,782.89,10.402,513.338,-888,-36,-36,49.4,4.896,190.584
2016-10-31,0.70933825,33.9070985,642859.845,644109.31,1332154.015,-1277,15,15,113.65,2.82,228.09,294,12,12,152.76,2.556,313.164,-574,-13,-13,795.47,15.535,6202.185,-852,-29,-29,49.74,4.5965,349.9435
2016-10-28,0.10390175,33.19776025,639382.4125,641737.93,1324156.3625,-1292,-2,-2,113.87,0.376,980.324,282,11,11,154.05,2.222,-218.602,-561,1,1,808.35,0.6995,-24.9195,-823,-27,-27,49.98,3.645,302.215
2016-10-27,0.3995201,33.0938585,645651.275,639069.82,1326278.945,-1290,40,40,115.39,8.78,1431.12,271,1,1,152.82,0.234,416.096,-562,0,0,801.0,0.0,2090.64,-796,14,14,50.32,1.995,57.345
2016-10-26,0.80256625,32.6943384,639066.664,645104.08,1325159.444,-1330,-55,-55,114.31,8.3875,3312.7125,270,18,18,150.71,2.997,251.163,-562,-14,-14,806.34,9.478,4805.102,-810,-7,-7,49.27,0.875,-343.315
2016-10-25,0.2240618,31.89177215,638753.9215,637667.36,1314443.0415,-1275,0,0,117.95,0.0,-765.0,252,27,27,150.69,4.212,70.668,-548,9,9,816.68,5.562,2943.428,-803,16,16,49.49,1.888,-8.478
2016-10-24,-0.8928605,31.66771035,649442.1335,638434.38,1321754.7635,-1275,12,12,117.1,1.578,-1346.328,225,16,16,150.4,2.872,196.308,-557,17,17,804.9,6.375,-7753.565,-819,44,44,49.82,5.83,-25.02
2016-10-21,-0.11708525,32.56057085,647990.7685,649011.88,1328275.3185,-1287,-36,-36,116.81,5.49,577.53,209,35,35,150.58,6.79,-368.9,-574,-4,-4,795.0,1.988,-1387.468,-863,-1,-1,49.07,0.1345,7.9855
2016-10-20,0.26130125,32.6776561,650450.241,646707.38,1323522.101,-1251,-14,-14,116.86,4.172,67.248,174,44,44,151.28,7.964,36.396,-570,9,9,803.3,4.0455,2596.5945,-862,9,9,49.46,1.206,-87.226
2016-10-19,-0.3687537,32.41635485,655871.5085,650353.0,1325888.3085,-1237,-27,-27,117.25,3.726,423.284,130,37,37,151.27,9.6385,40.2115,-579,17,17,798.86,15.3425,-3724.2425,-871,0,0,49.11,0.0,-426.79
2016-10-18,-0.97647625,32.78510855,661833.7155,655392.18,1331242.8555,-1210,-8,-8,118.18,1.224,100.616,93,25,25,150.02,4.4375,-262.3375,-596,16,16,787.85,8.28,-9253.32,-871,14,14,49.18,1.911,-349.721
2016-10-17,-0.07788425,33.7615848,666192.288,661270.41,1337987.058,-1202,-25,-25,117.33,3.8,84.86,68,21,21,154.45,3.612,18.148,-612,7,7,779.8,3.4825,-887.5325,-885,-16,-16,48.59,2.848,5.682
2016-10-14,-0.11027765,33.83946905,662361.1905,665688.51,1335308.8505,-1177,-29,-29,117.88,5.394,-744.344,47,23,23,154.47,4.5425,12.5175,-619,2,2,781.65,1.022,-218.402,-869,24,24,49.6,3.768,-152.548
2016-10-13,0.5591838,33.9497467,672630.727,662005.1,1338325.107,-1148,-15,-15,116.79,2.4225,402.6075,24,23,23,153.7,4.4735,-4.5835,-621,12,12,781.22,4.842,4991.148,-893,-3,-3,47.92,0.384,202.666
2016-10-12,-0.2837219,33.3905629,662345.319,672660.93,1335160.539,-1133,-52,-52,117.35,11.674,-1135.394,1,23,23,154.97,5.819,-10.459,-633,-12,-12,783.76,8.22,-1943.25,-890,-37,-37,48.97,5.476,251.884
2016-10-11,0.19625435,33.6742848,671476.548,661233.46,1332710.008,-1081,25,25,117.7,5.0375,-316.5375,-22,10,10,156.73,1.915,50.045,-621,18,18,786.66,13.959,1755.351,-853,-10,-10,49.28,1.295,473.685
2016-10-10,-0.9415184,33.47803045,670385.9345,670878.31,1341264.2445,-1106,-14,-14,115.02,2.135,-2189.635,-32,16,16,156.71,3.872,-63.712,-639,-2,-2,777.71,1.091,-6935.371,-843,-26,-26,49.46,3.536,-226.466
2016-10-07,0.0813066,34.41954885,672117.5685,669045.66,1341163.2285,-1092,-2,-2,114.31,0.321,-185.121,-48,13,13,157.14,2.301,52.399,-637,4,4,779.66,1.388,1121.272,-817,-19,-19,49.0,2.584,-175.484
2016-10-06,-0.14737495,34.33824225,670606.1625,671805.58,1342411.7425,-1090,-17,-17,113.7,2.5245,-907.0745,-61,17,17,156.84,2.6435,13.6365,-641,-2,-2,779.0,0.842,-245.772,-798,-17,-17,48.83,2.4395,-334.5395
2016-10-05,-0.0866858,34.4856172,673761.922,669404.56,1343166.482,-1073,-8,-8,113.4,1.472,-51.922,-78,18,18,157.07,4.239,-63.579,-639,7,7,779.31,2.737,-48.457,-781,0,0,48.01,0.0,-702.9
2016-10-04,-0.34653225,34.572303,672663.32,673645.7,1346309.02,-1065,-16,-16,113.06,2.216,-504.776,-96,15,15,157.67,2.5125,106.9875,-646,1,1,776.03,0.428,-2503.918,-781,-24,-24,47.1,2.976,-563.616
2016-10-03,0.39128425,34.91883525,675541.8925,672311.34,1347853.2325,-1049,-10,-10,112.71,1.785,550.785,-111,20,20,158.06,3.78,149.66,-647,1,1,774.25,0.4425,3062.9075,-757,-5,-5,47.02,0.86,149.49
2016-09-30,-0.3558293,34.527551,671617.01,675563.84,1347180.85,-1039,-36,-36,112.46,7.2,-901.05,-131,17,17,158.9,8.109,-118.479,-648,-9,-9,776.33,6.1065,-1471.6665,-752,-25,-25,46.33,4.9875,-1067.0975
2016-09-29,0.673444,34.8833803,672597.653,670340.48,1342938.133,-1003,-18,-18,113.16,2.889,1758.201,-148,20,20,158.63,4.39,15.45,-639,4,4,781.44,1.768,4184.162,-727,-6,-6,46.8,0.843,776.627
2016-09-28,-0.0536052,34.2099363,673067.783,672100.7,1345168.483,-985,-9,-9,113.69,1.278,-842.978,-168,30,30,156.99,7.44,-269.4,-643,1,1,777.85,0.684,936.826,-721,0,0,46.58,0.0,-360.5
2016-09-27,-0.68026935,34.2635415,675572.365,673085.28,1348657.645,-976,-13,-13,113.0,2.496,-205.896,-198,28,28,154.32,4.2,-566.14,-644,-5,-5,775.5,2.9175,-5663.6675,-721,-41,-41,45.52,5.74,-366.99
2016-09-26,0.89014295,34.94381085,670436.5385,674214.94,1344651.4785,-963,-51,-51,111.64,13.362,-231.642,-226,25,25,154.46,4.1625,234.8375,-639,-9,-9,782.74,3.051,8068.419,-680,-35,-35,46.51,4.585,829.815
2016-09-23,0.21916885,34.0536679,669804.409,669291.26,1339095.669,-912,-17,-17,114.42,2.499,1736.021,-251,20,20,155.62,3.53,289.9,-630,5,5,786.59,3.3525,195.0475,-645,-16,-16,47.02,2.04,-29.28
2016-09-22,-0.82802165,33.83449905,673713.0205,669516.61,1343229.6305,-895,-6,-6,114.35,1.065,-953.915,-271,23,23,156.15,4.3815,-175.8215,-635,9,9,780.0,4.887,-7017.557,-629,-14,-14,46.99,2.093,-132.923
2016-09-21,-0.36337635,34.6625207,675517.697,673254.23,1348771.927,-889,-5,-5,113.85,0.9025,18.2775,-294,20,20,154.91,4.12,-330.84,-644,4,4,772.66,1.36,-3104.0,-615,-13,-13,47.0,1.781,-217.201
2016-09-20,-0.3575414,35.02589705,676023.9905,675509.46,1351533.4505,-884,-41,-41,113.05,10.1065,-22.9965,-314,23,23,155.87,4.186,104.694,-648,-3,-3,769.0,1.734,-3691.914,-602,-15,-15,47.04,2.0475,34.8025
2016-09-19,0.27047505,35.38343845,673251.9445,674873.2,1348125.1445,-843,-22,-22,115.19,4.499,1131.061,-337,19,19,154.87,3.7335,-370.4135,-645,1,1,772.42,0.3545,2047.2055,-587,-31,-31,46.62,3.9525,-103.1025
2016-09-16,0.341269,35.1129634,676994.714,672875.86,1349870.574,-821,-8,-8,115.12,1.696,528.354,-356,20,20,155.04,5.12,655.2,-646,11,11,769.75,8.712,1873.878,-556,-28,-28,46.6,3.822,355.258
2016-09-15,-1.00316325,34.7716944,679132.654,676487.71,1355620.364,-813,22,22,113.86,7.073,-3142.453,-376,16,16,154.3,3.584,-612.944,-657,7,7,762.89,3.6995,-6096.8895,-528,-37,-37,46.75,5.106,-179.346
