,Daily Returns,Total Returns,Funds,Margin,Portfolio Value,AAPL Position,AAPL Order,AAPL Filled Order,AAPL Trade Price,AAPL Cost to Trade,AAPL PnL,IBM Position,IBM Order,IBM Filled Order,IBM Trade Price,IBM Cost to Trade,IBM PnL,GOOG Position,GOOG Order,GOOG Filled Order,GOOG Trade Price,GOOG Cost to Trade,GOOG PnL,C Position,C Order,C Filled Order,C Trade Price,C Cost to Trade,C PnL
2016-09-14,-0.42840235,35.77485765,682255.7765,679227.98,1361483.7565,-835,1,1,108.73,0.1775,-3190.6575,-392,10,10,155.7,2.215,688.805,-664,-1,-1,759.61,0.621,-1859.901,-491,-35,-35,46.89,4.69,77.73
2016-09-13,0.5396344,36.20326,677019.89,681482.26,1358502.15,-836,29,29,107.51,7.5255,-2165.9155,-402,15,15,157.63,4.2675,1002.5925,-663,4,4,764.48,3.658,6200.292,-456,-35,-35,46.9,6.195,359.375
2016-09-12,-0.9605723,35.6636256,693219.076,676842.82,1370061.896,-865,7,7,102.65,1.6065,-1996.3965,-417,21,21,155.26,4.9875,-1080.1575,-667,-1,-1,755.13,0.779,-6248.429,-421,-29,-29,46.64,4.35,-280.74
2016-09-09,1.3930327,36.6241979,664534.519,692126.62,1356661.139,-872,-50,-50,104.64,10.075,2030.005,-438,-5,-5,158.03,1.1125,1443.8175,-666,-38,-38,770.1,16.663,10214.537,-392,-39,-39,47.9,5.3625,241.9675
2016-09-08,0.658558,35.2311652,684895.822,663385.55,1348281.372,-822,3,3,107.25,0.5535,2337.2565,-433,35,35,160.55,6.58,1174.69,-628,19,19,778.59,8.1035,3184.1765,-353,-7,-7,47.46,0.973,-110.543
2016-09-07,-0.14192155,34.5726072,662383.782,684850.67,1347234.452,-825,-44,-44,107.83,6.138,-544.918,-468,5,5,160.19,0.9375,-603.8575,-647,-17,-17,780.0,11.05,-187.1,-346,-40,-40,47.0,6.0,-83.34
2016-09-06,-0.58085045,34.71452875,689616.2775,661704.7,1351320.9775,-781,17,17,107.9,2.703,17.837,-473,38,38,159.88,6.498,-397.438,-630,27,27,773.45,10.1385,-5494.4685,-306,-13,-13,47.51,1.755,65.565
2016-09-02,-0.24890345,35.2953792,662365.332,689428.35,1351793.682,-798,-40,-40,107.7,6.36,-765.56,-511,0,0,159.88,0.0,-5.11000000001,-657,-23,-23,773.01,10.028,-1673.498,-293,-39,-39,47.5,6.3765,-44.8665
2016-09-01,-0.18884175,35.54428265,694892.2265,661206.42,1356098.6465,-758,26,26,106.14,3.809,-482.389,-511,43,43,158.32,7.31,-320.49,-634,34,34,769.25,9.707,-1181.327,-254,-11,-11,47.82,1.6115,95.7885
2016-08-31,0.1493548,35.7331244,661911.304,695306.04,1357217.344,-784,-54,-54,105.66,8.1,-104.86,-554,-11,-11,159.66,1.837,289.103,-668,-35,-35,767.01,16.8525,1273.0675,-243,-35,-35,47.96,4.7425,36.2375
2016-08-30,0.26502035,35.5837696,694986.406,660791.33,1355777.736,-730,22,22,105.8,3.465,617.575,-543,57,57,159.76,10.5735,160.9065,-633,30,30,769.33,15.555,2006.025,-208,-7,-7,47.22,0.903,-134.303
2016-08-29,-0.2593683,35.31874925,661510.7425,694636.05,1356146.7925,-752,-52,-52,106.62,9.464,64.136,-600,5,5,158.83,1.1475,-843.6975,-663,-37,-37,768.74,22.6255,-1782.6555,-201,-28,-28,47.19,3.556,-31.466
2016-08-26,0.04469315,35.57811755,694694.8655,660804.99,1355499.8555,-700,22,22,107.41,3.52,441.0,-605,72,72,158.88,11.232,158.318,-626,28,28,769.0,14.994,-84.894,-173,-3,-3,46.83,0.3525,-67.4925
2016-08-25,0.05806615,35.5334244,662122.274,694703.28,1356825.554,-722,-61,-61,107.39,9.3635,283.7165,-677,-3,-3,159.0,0.579,283.611,-654,-38,-38,767.0,17.917,32.183,-170,-31,-31,46.51,3.999,-18.849
2016-08-24,0.2892109,35.47535825,692579.3525,660682.87,1353262.2225,-661,7,7,108.56,0.9765,543.0735,-674,63,63,159.89,9.7965,829.0535,-616,24,24,770.58,7.992,1531.048,-139,-16,-16,46.63,1.976,-11.066
2016-08-23,-0.0265769,35.18614735,656992.2035,692777.23,1349769.4335,-668,-63,-63,108.59,10.2375,-232.3175,-737,-4,-4,160.33,0.688,-190.988,-640,-33,-33,775.48,10.7085,143.9815,-123,-43,-43,46.9,5.375,13.555
2016-08-22,0.2559,35.21272425,695026.0625,656228.79,1351254.8525,-605,6,6,108.86,0.999,516.251,-733,85,85,160.0,14.4075,18.3125,-607,32,32,773.27,9.552,2044.138,-80,-39,-39,46.42,5.0115,-19.7015
2016-08-19,0.2059725,34.95682425,654399.9725,695150.53,1349550.5025,-611,-67,-67,108.77,8.643,-200.493,-818,-1,-1,160.84,0.178,1079.062,-639,-46,-46,775.0,18.078,1196.042,-41,-48,-48,46.34,5.976,-14.886
2016-08-18,0.0658099,34.75085175,692582.7975,653414.18,1346322.4775,-544,-4,-4,109.23,0.606,75.594,-817,107,107,160.89,17.762,-817.552,-593,31,31,780.01,14.384,1411.646,7,-59,-59,46.57,7.139,-11.589
2016-08-17,-0.14680555,34.68504185,652266.1185,692697.96,1348041.6585,-540,-80,-80,109.1,12.08,51.92,-924,8,8,160.97,1.296,236.784,-624,-46,-46,777.32,21.942,-1742.142,66,-63,-63,46.51,8.3475,-14.6175
2016-08-16,0.4331896,34.8318474,688383.174,651597.72,1345994.874,-460,-18,-18,109.63,3.114,45.586,-932,128,128,161.11,20.416,1177.904,-578,20,20,780.3,9.38,3096.82,129,-66,-66,46.25,8.844,11.586
2016-08-15,0.010971,34.3986578,645573.848,688624.38,1343244.278,-442,-86,-86,108.14,11.438,-589.478,-1060,31,31,162.4,6.107,54.143,-598,-50,-50,783.75,12.5,480.44,195,-55,-55,45.82,6.545,164.605
2016-08-12,0.2482904,34.3876868,687542.018,644671.97,1343608.988,-356,-61,-61,107.78,9.394,-107.544,-1091,224,224,163.19,53.424,1746.516,-548,15,15,781.5,6.585,936.905,250,-123,-123,45.41,16.113,-92.973
2016-08-11,-0.18686255,34.1393964,638434.224,687327.15,1342818.664,-295,-147,-147,108.52,23.079,74.011,-1315,112,112,162.25,15.12,-1940.91,-563,-65,-65,785.0,19.5975,-94.5075,373,-178,-178,45.51,22.339,92.781
2016-08-10,-0.12843575,34.32625895,680579.0195,637841.71,1343463.6795,-148,-253,-253,108.71,37.0645,57.5155,-1427,505,505,162.19,79.0325,-733.5025,-498,-29,-29,783.75,15.0365,-238.9865,551,-547,-547,45.8,66.734,-369.384
2016-08-09,-0.1200188,34.4546947,603591.397,679744.94,1345159.587,105,-413,-413,108.23,66.2865,-77.9065,-1932,389,389,162.22,71.7705,379.8495,-469,-181,-181,781.1,59.187,-1351.147,1098,-591,-591,45.95,79.194,-150.984
2016-08-08,0.46778855,34.5747135,607402.095,602912.33,1344076.525,518,-717,-717,107.52,124.3995,365.3005,-2321,1074,1074,162.73,211.578,4004.062,-288,-215,-215,782.0,136.525,-51.345,1689,-892,-892,45.83,143.612,359.868
2016-08-05,0.00793865,34.10692495,489560.8095,606475.94,1346777.8695,1235,-288,-288,106.27,39.168,2064.382,-3395,-360,-360,162.0,64.44,-6522.69,-73,-317,-317,773.78,115.2295,-201.8695,2581,124,124,44.63,14.756,4739.564
2016-08-04,-0.33423095,34.0989863,397646.183,488210.1,1343084.013,1523,-31,-31,105.58,4.7585,110.5715,-3035,-554,-554,160.86,84.762,-2650.302,244,-214,-214,772.22,89.773,-678.293,2457,359,359,43.74,55.286,-124.286
2016-08-03,0.36837015,34.43321725,337794.0625,397282.53,1345671.9125,1554,-21,-21,104.81,4.2735,2038.3965,-2481,-392,-392,160.13,60.564,-460.254,458,-164,-164,767.18,81.918,246.502,2098,302,302,42.93,47.263,1859.057
2016-08-02,-0.33321285,34.0648471,280942.451,336893.03,1339207.061,1575,-34,-34,106.05,6.358,-2479.108,-2089,-345,-345,161.27,65.7225,1689.6075,622,-125,-125,768.69,133.375,-1782.945,1796,247,247,43.23,34.333,-759.683
2016-08-01,0.3332772,34.39805995,249968.8095,280173.6,1345375.7995,1609,-42,-42,104.41,6.027,2962.933,-1744,-201,-201,160.65,36.582,-1478.072,747,-71,-71,761.09,48.919,2459.611,1549,33,33,43.92,3.96,-611.7
2016-07-29,2.0481623,34.06478275,223190.6375,248978.48,1339506.0075,1651,-77,-77,104.19,13.9755,-240.1555,-1543,-167,-167,161.36,25.885,1129.695,818,-49,-49,772.71,27.8075,20001.2325,1516,2,2,43.87,0.249,-409.149
2016-07-28,0.63926165,32.01662045,204352.9545,222058.88,1320152.4445,1728,-40,-40,102.83,7.2,2389.92,-1376,-121,-121,161.38,20.5095,558.0005,867,-39,-39,747.04,18.447,3776.463,1514,-33,-33,44.0,4.257,-331.767
2016-07-27,1.55763705,31.3773588,187373.188,203460.6,1313409.638,1768,-121,-121,104.26,21.4775,11999.9525,-1255,-110,-110,162.12,23.265,340.685,906,-22,-22,738.28,10.362,3021.658,1547,15,15,44.2,1.755,214.075
2016-07-26,-0.1775829,29.81972175,175854.9275,186234.25,1297590.3675,1889,32,32,96.82,6.272,-1255.262,-1145,-63,-63,162.65,9.8595,596.9905,928,-30,-30,739.04,10.665,-1285.365,1532,57,57,43.93,6.9825,167.8075
2016-07-25,-0.6358374,29.99730465,170973.3065,175284.0,1300676.3465,1857,11,11,98.25,1.6445,-2448.3745,-1082,-24,-24,162.0,4.428,-633.668,958,-16,-16,740.67,6.944,-2885.324,1475,55,55,44.31,6.9575,-391.0075
2016-07-22,0.1145786,30.63314205,169129.8805,170105.24,1307696.2405,1846,-9,-9,99.26,1.7415,-1424.6915,-1058,-10,-10,160.78,1.98,-1712.64,974,-17,-17,741.86,6.681,4051.369,1420,97,97,44.1,12.5615,231.7485
2016-07-21,-0.3094384,30.51856345,161596.2645,168466.0,1304871.2345,1855,21,21,99.83,2.856,-983.276,-1048,-41,-41,160.75,8.4255,920.2445,991,-25,-25,740.36,8.7875,-2566.4975,1323,97,97,44.5,12.125,-464.855
2016-07-20,0.27814685,30.82800185,157694.0585,161089.79,1309679.7485,1834,6,6,100.0,0.798,163.482,-1007,-40,-40,159.97,12.5,-1789.36,1016,-15,-15,737.33,7.4925,4295.7375,1226,114,114,44.53,14.991,111.609
2016-07-19,0.3389694,30.549855,155244.57,156441.26,1303371.15,1828,-32,-32,99.56,5.648,58.832,-967,-2,-2,161.78,0.402,274.198,1031,0,0,729.89,0.0,3278.58,1112,92,92,44.19,12.236,-221.916
2016-07-18,1.6406401,30.2108856,161252.376,153724.5,1302649.256,1860,-90,-90,98.7,12.6,1933.2,-965,35,35,159.3,6.09,-66.49,1031,16,16,722.71,6.944,14309.126,1020,130,130,44.28,20.735,230.565
2016-07-15,-0.09298275,28.5702455,162960.005,159900.0,1285582.455,1950,-104,-104,98.92,19.084,-25.064,-1000,20,20,159.9,4.82,502.78,1015,24,24,725.73,7.416,-1238.636,890,91,91,45.0,12.0575,-168.9075
2016-07-14,0.61851525,28.66322825,173253.8225,161986.2,1288131.6825,2054,-50,-50,97.39,7.075,3962.605,-1020,70,70,158.81,11.48,-2371.98,991,23,23,721.58,10.5225,3817.9475,799,100,100,44.38,13.3,776.58
2016-07-13,-0.59507375,28.044713,180655.14,171947.5,1280741.43,2104,-18,-18,97.41,2.322,-1159.702,-1090,62,62,157.75,11.16,-1123.38,968,13,13,723.62,5.8695,-3587.4895,699,126,126,43.33,17.136,-80.166
2016-07-12,0.47344515,28.63978675,188056.3875,179712.0,1287595.9475,2122,32,32,97.17,4.672,922.928,-1152,54,54,156.0,9.558,-2015.658,955,5,5,719.12,2.8175,5277.2825,573,167,167,42.82,20.541,549.899
2016-07-11,0.84810835,28.1663416,196902.756,186447.6,1282543.796,2090,6,6,96.75,0.852,625.728,-1206,66,66,154.6,11.616,-1070.076,950,21,21,708.05,11.8335,8924.3465,406,230,230,42.39,30.475,1.085
2016-07-08,0.84000365,27.31823325,213479.5825,195888.0,1273767.4525,2084,-65,-65,96.49,9.36,1568.55,-1272,99,99,154.0,18.81,-2523.33,929,30,30,699.5,17.97,9398.66,176,251,251,41.8,37.2735,-43.8435
2016-07-07,-0.17468485,26.4782296,220749.946,212520.0,1264573.646,2149,36,36,95.7,5.922,869.048,-1371,-9,-9,152.75,2.0205,-313.9305,899,23,23,698.08,16.7785,-2190.4985,-75,223,223,41.33,34.0075,-111.4675
2016-07-06,0.31777,26.65291445,235622.7545,218784.4,1267508.5645,2113,-22,-22,94.6,3.234,1129.206,-1362,43,43,151.85,6.966,-954.056,876,26,26,689.98,13.078,2977.462,-298,228,228,40.15,35.112,25.088
2016-07-05,-0.41624485,26.33514445,236416.3145,234187.83,1263724.2945,2135,19,19,95.39,2.9735,-1914.9735,-1405,-54,-54,151.19,9.639,869.071,850,20,20,696.06,10.52,-3959.52,-526,171,171,41.38,23.256,842.974
2016-07-01,0.582028,26.7513893,249300.113,235091.79,1267639.443,2116,-33,-33,95.49,5.7255,604.2845,-1351,52,52,152.19,13.624,-805.014,830,31,31,692.2,16.5385,5881.6615,-697,212,212,42.3,33.072,139.348
2016-06-30,0.3834429,26.1693613,259447.763,247646.7,1265526.763,2149,-24,-24,94.44,3.504,2576.256,-1403,66,66,148.86,13.299,-4697.659,799,47,47,685.47,18.847,6301.243,-909,138,138,42.68,22.701,-345.411
2016-06-29,-0.1536629,25.7859184,283900.484,258282.08,1261764.484,2173,-57,-57,93.97,10.032,1771.758,-1469,138,138,146.5,24.219,-4189.059,752,72,72,683.0,33.588,2813.932,-1047,200,200,41.14,34.3,-1933.26
2016-06-28,0.4076626,25.9395813,308222.433,282304.53,1261659.863,2230,-61,-61,92.9,10.8275,3498.1325,-1607,91,91,144.78,27.755,-3679.635,680,86,86,678.97,47.386,7041.954,-1247,227,227,39.81,37.7955,-2783.8255
2016-06-27,0.0970456,25.5319187,334782.507,306554.56,1249147.147,2291,-107,-107,93.0,21.4535,-3180.0135,-1698,80,80,146.18,25.72,5253.9,594,79,79,671.0,70.9025,-3871.7625,-1474,152,152,39.58,23.788,2768.332
2016-06-24,0.38162195,25.4348731,343379.971,332711.04,1247802.511,2398,27,27,92.91,4.104,-6392.574,-1778,-4,-4,149.97,0.976,15552.784,515,69,69,675.17,58.4775,-11940.9275,-1626,-42,-42,40.63,6.363,6596.937
2016-06-23,-0.4212286,25.05325115,373380.6515,341140.14,1255407.9115,2371,-80,-80,95.94,14.16,1321.09,-1774,136,136,153.45,30.192,-4413.092,446,77,77,697.45,37.653,1929.977,-1584,238,238,43.51,33.201,-3050.261
2016-06-22,0.20564785,25.47447975,389485.8875,371771.64,1252813.3175,2451,-75,-75,96.25,13.7625,-870.6225,-1910,56,56,153.75,8.064,2167.036,369,60,60,699.06,38.28,335.4,-1822,145,145,42.87,19.865,424.665
2016-06-21,0.11832055,25.2688319,406672.239,387993.95,1251980.309,2526,-22,-22,94.94,3.894,2038.646,-1966,88,88,154.16,18.26,-931.7,309,57,57,698.4,31.5495,390.1905,-1967,146,146,43.17,23.871,-313.931
2016-06-20,-0.47423925,25.15051135,429783.9735,405271.38,1252185.0735,2548,-79,-79,96.0,13.2325,-546.3425,-2054,116,116,152.6,23.896,-3422.136,252,38,38,698.77,42.503,191.077,-2113,258,258,43.46,35.991,-964.991
2016-06-17,-1.2817719,25.6247506,431909.016,428208.44,1258577.446,2627,-6,-6,96.62,1.104,-5838.624,-2170,-13,-13,150.96,2.795,-2022.195,214,-10,-10,708.65,7.695,-4013.755,-2371,190,190,42.44,28.785,-943.145
2016-06-16,-0.20519355,26.9065225,425755.095,430523.04,1272247.925,2633,110,110,96.45,18.59,1136.84,-2157,-83,-83,150.19,13.2385,-873.5685,224,-30,-30,714.91,11.505,-2049.245,-2561,62,62,41.61,9.052,-265.962
2016-06-15,-0.000891199999999,27.11171605,415967.9305,425080.94,1268738.7705,2523,58,58,97.82,10.817,-839.057,-2074,-85,-85,151.46,14.4075,807.7125,254,-29,-29,719.0,16.4575,169.8125,-2623,30,30,42.3,6.03,-147.38
2016-06-14,0.373078,27.11260725,409232.9025,415081.04,1267823.2525,2465,92,92,97.32,18.492,279.148,-1989,-59,-59,151.28,12.449,425.131,283,-54,-54,716.48,29.511,-156.501,-2653,23,23,43.04,3.358,3183.002
2016-06-13,-0.0280285,26.73952925,385127.9525,408329.38,1266532.4725,2373,172,172,98.69,24.682,-3536.372,-1930,-142,-142,151.63,24.637,1973.983,337,-62,-62,716.51,35.526,-569.176,-2676,-160,-160,43.23,21.76,1851.28
2016-06-10,-0.11427305,26.76755775,376852.4375,384571.84,1265993.6975,2201,117,117,98.53,20.6505,-1694.4305,-1788,-44,-44,152.79,6.666,1843.014,399,-36,-36,719.47,16.56,-4003.35,-2516,-93,-93,44.27,11.904,2712.036
2016-06-09,0.3772101,26.8818308,368511.878,376163.62,1269278.398,2084,201,201,98.5,28.944,1539.136,-1744,-51,-51,152.92,7.7775,948.6625,435,-25,-25,722.87,12.4875,-17.2375,-2423,-61,-61,45.18,7.93,1301.54
2016-06-08,0.3925755,26.5046207,377368.007,367350.05,1266030.877,1883,126,126,99.02,18.333,-186.543,-1693,41,41,153.53,6.7035,-1149.2135,460,5,5,723.96,1.8575,5311.3925,-2362,38,38,45.48,4.921,-49.881
2016-06-07,-0.00916535,26.1120452,383548.132,376335.54,1259955.132,1757,133,133,99.25,42.161,578.179,-1734,25,25,153.31,4.5125,-1059.4125,455,26,26,719.84,15.99,-56.03,-2400,76,76,46.04,11.59,445.61
2016-06-06,-0.2203592,26.12121055,412199.4455,381670.95,1261445.4655,1624,35,35,97.99,4.935,1145.655,-1759,142,142,153.09,23.714,229.326,429,62,62,724.91,33.883,-2677.133,-2476,208,208,45.39,34.84,-901.44
2016-06-03,0.29491725,26.34156975,433617.4075,410787.64,1265098.7075,1589,75,75,97.79,12.0375,300.5125,-1901,90,90,152.4,15.21,1243.4,367,46,46,729.27,24.955,-2930.995,-2684,55,55,45.11,6.765,4336.255
2016-06-02,-0.42919005,26.0466525,448016.915,432156.23,1262579.625,1514,96,96,97.6,15.408,-1053.208,-1991,60,60,152.59,11.19,-1987.08,321,39,39,732.5,16.6725,-1156.0725,-2739,140,140,46.86,24.57,-95.54
